"","region","oktmo","year","index"
"376","Республика Северная Осетия-Алания",90,"2010",0.608328609719929
"377","Республика Татарстан (Татарстан)",92,"2010",0.598743968702278
"378","Республика Тыва",93,"2010",0.663818593614656
"379","Республика Хакасия",95,"2010",0.67043410620646
"380","Ростовская область",60,"2010",0.69222080173011
"381","Рязанская область",61,"2010",0.676586663787512
"382","Самарская область",36,"2010",0.720517495364315
"383","Саратовская область",63,"2010",0.580036005794299
"384","Сахалинская область",64,"2010",1.02019988859634
"385","Свердловская область",65,"2010",0.715528050902149
"386","Смоленская область",66,"2010",0.667867405104447
"387","Ставропольский край",7,"2010",0.720052086528418
"388","Тамбовская область",68,"2010",0.643795380428781
"389","Тверская область",28,"2010",0.691831461473718
"390","Томская область",69,"2010",0.706807974277369
"391","Тульская область",70,"2010",0.642130869038534
"392","Тюменская область",71,"2010",0.85945389303449
"393","Удмуртская Республика",94,"2010",0.613821906278602
"394","Ульяновская область",73,"2010",0.602905656148754
"395","Хабаровский край",8,"2010",0.921909468575088
"396","Челябинская область",75,"2010",0.637738522028397
"397","Чеченская Республика",96,"2010",0.644682847189675
"398","Чувашская Республика - Чувашия",97,"2010",0.607347897603513
"399","Чукотский автономный округ",77,"2010",1.26432768053814
"400","Ярославская область",78,"2010",0.666683025500969
"401","Алтайский край",1,"2011",0.59791001536278
"402","Амурская область",10,"2011",0.812206944961839
"403","Архангельская область",11,"2011",0.808612546988864
"404","Астраханская область",12,"2011",0.617188919094489
"405","Белгородская область",14,"2011",0.606413421959232
"406","Брянская область",15,"2011",0.615097702971882
"407","Владимирская область",17,"2011",0.684575029786553
"408","Волгоградская область",18,"2011",0.65059680860562
"409","Вологодская область",19,"2011",0.726480938145568
"410","Воронежская область",20,"2011",0.691074963594213
"411","Город Москва столица Российской Федерации город федерального значения",45,"2011",1
"412","Город Санкт-Петербург город федерального значения",40,"2011",0.753236497532411
"413","Еврейская автономная область",99,"2011",0.834720037190859
"414","Забайкальский край",76,"2011",0.652586427183808
"415","Ивановская область",24,"2011",0.651293367527577
"416","Иркутская область",25,"2011",0.680765891549239
"417","Кабардино-Балкарская Республика",83,"2011",0.602920621530675
"418","Калининградская область",27,"2011",0.725754361767305
"419","Калужская область",29,"2011",0.632133763942723
"420","Камчатский край",30,"2011",1.22191597575205
"421","Карачаево-Черкесская Республика",91,"2011",0.639669684832102
"422","Кемеровская область - Кузбасс",32,"2011",0.582402535628412
"423","Кировская область",33,"2011",0.658809276779419
"424","Костромская область",34,"2011",0.642965447598757
"425","Краснодарский край",3,"2011",0.681504013103004
"426","Красноярский край",4,"2011",0.739995720588281
"427","Курганская область",37,"2011",0.645102844423372
"428","Курская область",38,"2011",0.649351469008131
"429","Ленинградская область",41,"2011",0.724170363688422
"430","Липецкая область",42,"2011",0.648390140727993
"431","Магаданская область",44,"2011",1.04657477733205
"432","Московская область",46,"2011",0.767746474103402
"433","Мурманская область",47,"2011",0.884385073165626
"434","Нижегородская область",22,"2011",0.66254914396372
"435","Новгородская область",49,"2011",0.641462265748389
"436","Новосибирская область",50,"2011",0.712883800117607
"437","Омская область",52,"2011",0.593779151568143
"438","Оренбургская область",53,"2011",0.59467813590057
"439","Орловская область",54,"2011",0.587757188026268
"440","Пензенская область",56,"2011",0.617856230238508
"441","Пермский край",57,"2011",0.709274008577296
"442","Приморский край",5,"2011",0.861160798125679
"443","Псковская область",58,"2011",0.652283943585654
"444","Республика Адыгея (Адыгея)",79,"2011",0.63416725418782
"445","Республика Алтай",84,"2011",0.700893750519533
"446","Республика Башкортостан",80,"2011",0.611117696137138
"447","Республика Бурятия",81,"2011",0.709276317612396
"448","Республика Дагестан",82,"2011",0.618730584863197
"449","Республика Ингушетия",26,"2011",0.565240247405414
"450","Республика Калмыкия",85,"2011",0.624483930655058
"451","Республика Карелия",86,"2011",0.742284744051156
"452","Республика Коми",87,"2011",0.825265308133037
"453","Республика Марий Эл",88,"2011",0.587517818054191
"454","Республика Мордовия",89,"2011",0.614588175893058
"455","Республика Саха (Якутия)",98,"2011",0.927993510072011
"456","Республика Северная Осетия-Алания",90,"2011",0.607128453161993
"457","Республика Татарстан (Татарстан)",92,"2011",0.600142082626512
"458","Республика Тыва",93,"2011",0.663491230284689
"459","Республика Хакасия",95,"2011",0.66600269079557
"460","Ростовская область",60,"2011",0.69667514339108
"461","Рязанская область",61,"2011",0.67087475485744
"462","Самарская область",36,"2011",0.717728925436638
"463","Саратовская область",63,"2011",0.580721558075311
"464","Сахалинская область",64,"2011",1.02936553872868
"465","Свердловская область",65,"2011",0.716338116627824
"466","Смоленская область",66,"2011",0.66394611019947
"467","Ставропольский край",7,"2011",0.716838407566246
"468","Тамбовская область",68,"2011",0.659203352103223
"469","Тверская область",28,"2011",0.686497686346829
"470","Томская область",69,"2011",0.708838370621685
"471","Тульская область",70,"2011",0.638537487954534
"472","Тюменская область",71,"2011",0.853255431620235
"473","Удмуртская Республика",94,"2011",0.60203780044395
"474","Ульяновская область",73,"2011",0.610185615634938
"475","Хабаровский край",8,"2011",0.936097453596091
"476","Челябинская область",75,"2011",0.642125728500574
"477","Чеченская Республика",96,"2011",0.656875844722008
"478","Чувашская Республика - Чувашия",97,"2011",0.602059351438221
"479","Чукотский автономный округ",77,"2011",1.24362552376613
"480","Ярославская область",78,"2011",0.660975151703606
"481","Алтайский край",1,"2012",0.59960496694914
"482","Амурская область",10,"2012",0.801468289815173
"483","Архангельская область",11,"2012",0.793069356619492
"484","Астраханская область",12,"2012",0.611412225233363
"485","Белгородская область",14,"2012",0.609005463070504
"486","Брянская область",15,"2012",0.622177055103884
"487","Владимирская область",17,"2012",0.688311753487905
"488","Волгоградская область",18,"2012",0.662614530907214
"489","Вологодская область",19,"2012",0.733297486414018
"490","Воронежская область",20,"2012",0.665956180725828
"491","Город Москва столица Российской Федерации город федерального значения",45,"2012",1
"492","Город Санкт-Петербург город федерального значения",40,"2012",0.749800691128604
"493","Еврейская автономная область",99,"2012",0.861785750132634
"494","Забайкальский край",76,"2012",0.647568144993619
"495","Ивановская область",24,"2012",0.658316485281255
"496","Иркутская область",25,"2012",0.680811144090277
"497","Кабардино-Балкарская Республика",83,"2012",0.631424126410576
"498","Калининградская область",27,"2012",0.727205660945498
"499","Калужская область",29,"2012",0.638222853128002
"500","Камчатский край",30,"2012",1.20827848754678
"501","Карачаево-Черкесская Республика",91,"2012",0.640126324543669
"502","Кемеровская область - Кузбасс",32,"2012",0.595342051304111
"503","Кировская область",33,"2012",0.663143631436314
"504","Костромская область",34,"2012",0.650399334681177
"505","Краснодарский край",3,"2012",0.672649517500466
"506","Красноярский край",4,"2012",0.751187249967738
"507","Курганская область",37,"2012",0.646387347471358
"508","Курская область",38,"2012",0.639046615333878
"509","Ленинградская область",41,"2012",0.730018927173399
"510","Липецкая область",42,"2012",0.652173757187307
"511","Магаданская область",44,"2012",1.06110609254241
"512","Московская область",46,"2012",0.778429474770938
"513","Мурманская область",47,"2012",0.872885390229564
"514","Нижегородская область",22,"2012",0.670727405686755
"515","Новгородская область",49,"2012",0.645203682195552
"516","Новосибирская область",50,"2012",0.715716723304799
"517","Омская область",52,"2012",0.598069284925653
"518","Оренбургская область",53,"2012",0.597183866018554
"519","Орловская область",54,"2012",0.583057312054602
"520","Пензенская область",56,"2012",0.600758520812721
"521","Пермский край",57,"2012",0.710809996988859
"522","Приморский край",5,"2012",0.852798210521788
"523","Псковская область",58,"2012",0.663813251889133
"524","Республика Адыгея (Адыгея)",79,"2012",0.634274673434565
"525","Республика Алтай",84,"2012",0.738397786094263
"526","Республика Башкортостан",80,"2012",0.612816707532155
"527","Республика Бурятия",81,"2012",0.719056939246641
"528","Республика Дагестан",82,"2012",0.619211080999699
"529","Республика Ингушетия",26,"2012",0.559343141050458
"530","Республика Калмыкия",85,"2012",0.643741844825856
"531","Республика Карелия",86,"2012",0.737455012116259
"532","Республика Коми",87,"2012",0.814528756398675
"533","Республика Марий Эл",88,"2012",0.587584777964182
"534","Республика Мордовия",89,"2012",0.616556258155174
"535","Республика Саха (Якутия)",98,"2012",0.915721741873503
"536","Республика Северная Осетия-Алания",90,"2012",0.615265052121421
"537","Республика Татарстан (Татарстан)",92,"2012",0.62376937525989
"538","Республика Тыва",93,"2012",0.674481295077501
"539","Республика Хакасия",95,"2012",0.670069256248118
"540","Ростовская область",60,"2012",0.703596879884143
"541","Рязанская область",61,"2012",0.677924750146972
"542","Самарская область",36,"2012",0.711136920893018
"543","Саратовская область",63,"2012",0.58109075006094
"544","Сахалинская область",64,"2012",1.00689264564603
"545","Свердловская область",65,"2012",0.723742848539596
"546","Смоленская область",66,"2012",0.67559039876113
"547","Ставропольский край",7,"2012",0.710774867007929
"548","Тамбовская область",68,"2012",0.653698685135
